City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Shediac,CA,46.2198,-64.5411,35.1,78,74,15.75,broken clouds
315,Rudnichnyy,RU,59.617,52.4703,15.98,85,100,10.65,overcast clouds
316,Cabo San Lucas,MX,22.8909,-109.9124,82.62,70,21,11.05,few clouds
317,Lexington,US,37.9887,-84.4777,42.12,63,0,4.61,clear sky
318,Otane,NZ,-39.8833,176.6333,64.0,50,1,6.15,clear sky
319,Hammerfest,NO,70.6634,23.6821,37.85,70,75,5.75,broken clouds
320,Igrim,RU,63.1906,64.4162,0.07,87,100,11.07,overcast clouds
321,Drayton Valley,CA,53.2168,-114.9854,30.15,99,50,2.37,scattered clouds
322,Manaus,BR,-3.1019,-60.025,86.49,70,0,5.75,clear sky
323,Mareeba,AU,-17.0,145.4333,84.43,62,75,2.91,broken clouds
324,Atikokan,CA,48.7555,-91.6216,23.22,88,100,8.61,overcast clouds
325,Severo-Kurilsk,RU,50.6789,156.125,34.12,93,99,20.11,light snow
326,Namatanai,PG,-3.6667,152.4333,83.62,67,94,7.4,overcast clouds
327,Vertientes,CU,21.2594,-78.1464,79.41,77,72,11.79,broken clouds
328,Tautira,PF,-17.7333,-149.15,77.92,80,81,6.64,light rain
329,Hay River,CA,60.8156,-115.7999,30.96,79,48,13.27,scattered clouds
330,Smolenka,RU,52.1352,113.4974,17.67,73,56,6.71,broken clouds
331,Luau,AO,-10.7073,22.2247,62.85,95,82,1.68,broken clouds
332,Saint George,US,37.1041,-113.5841,55.44,33,0,4.0,clear sky
333,Cowra,AU,-33.8333,148.6833,57.49,71,82,9.33,broken clouds
334,Monroe,US,43.1501,-77.6831,37.49,61,100,5.75,overcast clouds
335,Abha,SA,18.2164,42.5053,53.85,94,16,0.0,few clouds
336,Georgetown,MY,5.4112,100.3354,76.95,97,40,3.44,moderate rain
337,Corn Island,NI,12.1694,-83.0418,82.69,78,98,19.62,overcast clouds
338,Grindavik,IS,63.8424,-22.4338,43.27,87,40,12.66,scattered clouds
339,Haines Junction,CA,60.7522,-137.5108,35.29,99,92,1.86,snow
340,Buncrana,IE,55.1333,-7.45,50.14,86,68,27.04,moderate rain
341,Lavrentiya,RU,65.5833,-171.0,19.56,81,84,6.76,broken clouds
342,Kununurra,AU,-15.7667,128.7333,82.38,78,56,2.3,broken clouds
343,Blackwater,AU,-23.5833,148.8833,82.58,34,0,9.37,clear sky
344,Pevek,RU,69.7008,170.3133,-7.58,100,100,1.59,overcast clouds
345,Najran,SA,17.4924,44.1277,60.15,40,0,0.92,clear sky
346,Paamiut,GL,61.994,-49.6678,29.12,87,98,14.0,overcast clouds
347,Mandalgovi,MN,45.7625,106.2708,25.65,38,6,8.72,clear sky
348,Makakilo City,US,21.3469,-158.0858,82.72,55,20,14.97,few clouds
349,Ancud,CL,-41.8697,-73.8203,54.07,98,99,14.45,light rain
350,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.5,26,0,3.65,clear sky
351,Nola,IT,40.922,14.5329,59.92,93,35,3.11,scattered clouds
352,Khandyga,RU,62.6667,135.6,-16.69,98,100,4.88,overcast clouds
353,Simbahan,PH,6.3032,120.5836,82.63,77,100,4.03,overcast clouds
354,Jinji,CN,23.2281,110.8261,69.44,64,98,3.62,overcast clouds
355,Virginia Beach,US,36.8529,-75.978,47.01,72,75,0.0,broken clouds
356,Kavali,IN,14.9167,79.9833,75.83,83,100,4.18,overcast clouds
357,Kutum,SD,14.2,24.6667,62.55,23,4,9.37,clear sky
358,Iranshahr,IR,27.2025,60.6848,69.39,40,0,3.69,clear sky
359,Denia,ES,38.8408,0.1057,70.84,57,96,5.99,overcast clouds
360,Lubana,LV,56.9,26.7167,33.1,95,12,4.94,few clouds
361,Tomatlan,MX,19.9333,-105.25,80.8,68,88,4.56,overcast clouds
362,Viedma,AR,-40.8135,-62.9967,68.23,35,62,7.83,broken clouds
363,Chabahar,IR,25.2919,60.643,78.44,72,0,1.19,clear sky
364,Estelle,US,29.8458,-90.1067,64.4,73,75,12.66,broken clouds
365,Meulaboh,ID,4.1363,96.1285,74.55,93,100,5.14,overcast clouds
366,Ambilobe,MG,-13.2,49.05,72.36,86,36,3.02,scattered clouds
367,Tonstad,NO,58.6626,6.7169,49.21,88,100,16.93,overcast clouds
368,Diadema,BR,-23.6861,-46.6228,78.84,68,0,4.61,clear sky
369,Troy,US,42.6056,-83.1499,38.57,62,53,1.99,broken clouds
370,Kieta,PG,-6.2167,155.6333,83.82,66,95,4.94,overcast clouds
371,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,27,0,5.75,clear sky
372,Sawakin,SD,19.1059,37.3321,83.34,67,6,4.52,clear sky
373,Nyakahanga,TZ,-1.6033,31.1414,59.13,92,84,1.63,broken clouds
374,Suining,CN,30.508,105.5733,49.75,89,5,2.93,clear sky
375,Xapuri,BR,-10.6517,-68.5044,75.18,95,94,2.86,overcast clouds
376,Pontes E Lacerda,BR,-15.2261,-59.3353,75.4,82,87,4.88,overcast clouds
377,Novaya Ladoga,RU,60.1025,32.3019,35.13,92,100,8.66,overcast clouds
